cnote_no,booking_dt,wt_kg,dist_km,freight_rs,chill_prem_rs,total_rs
SG-7051,2026-08-02,45,130,530.00,0.00,530.00
SG-7052,2026-08-03,260,100,1760.00,0.00,1760.00
SG-7053,2026-08-04,60,85,530.00,0.00,530.00
SG-7054,2026-08-05,200,88,1376.00,0.00,1376.00
SG-7055,2026-08-06,110,70,800.00,0.00,800.00
SG-7056,2026-08-07,260,60,1940.00,0.00,1940.00
SG-7057,2026-08-08,200,160,1520.00,0.00,1520.00
SG-7058,2026-08-09,110,110,880.00,176.00,1056.00
SG-7059,2026-08-10,110,160,980.00,0.00,980.00
SG-7060,2026-08-11,110,70,800.00,0.00,800.00
SG-7061,2026-08-12,60,60,480.00,0.00,480.00
SG-7062,2026-08-13,60,95,550.00,0.00,550.00
SG-7063,2026-08-01,200,100,1400.00,0.00,1400.00
SG-7064,2026-08-02,200,45,1290.00,0.00,1290.00
SG-7065,2026-08-03,150,60,1020.00,0.00,1020.00
SG-7066,2026-08-04,90,140,820.00,164.00,984.00
SG-7067,2026-08-05,130,100,980.00,0.00,980.00
SG-7068,2026-08-06,130,95,970.00,0.00,970.00
SG-7969,2026-08-07,110,88,836.00,0.00,836.00
SG-7070,2026-08-08,45,145,560.00,0.00,560.00
SG-7071,2026-08-09,150,160,1220.00,0.00,1220.00
SG-7072,2026-08-10,150,110,1120.00,0.00,1120.00
SG-7073,2026-08-11,45,70,410.00,0.00,410.00
SG-7074,2026-08-12,300,45,1890.00,378.00,2268.00
SG-7075,2026-08-13,260,100,1760.00,0.00,1760.00
TOTAL,,,,,,27140.00
