cnote_no,booking_dt,wt_kg,dist_km,freight_rs,chill_prem_rs,total_rs
SG-7126,2026-09-17,260,95,1750.00,0.00,1750.00
SG-7127,2026-09-18,130,110,1000.00,0.00,1000.00
SG-7128,2026-09-19,60,85,530.00,0.00,530.00
SG-7129,2026-09-20,90,45,630.00,0.00,630.00
SG-7130,2026-09-21,90,45,630.00,0.00,630.00
SG-7131,2026-09-22,200,85,1370.00,0.00,1370.00
SG-7132,2026-09-23,90,130,800.00,0.00,800.00
SG-7133,2026-09-24,45,160,590.00,118.00,748.00
SG-7134,2026-09-25,200,140,1480.00,0.00,1480.00
SG-7135,2026-09-26,110,95,850.00,0.00,850.00
SG-7136,2026-09-27,300,45,1890.00,0.00,1890.00
SG-7137,2026-09-28,110,45,750.00,0.00,750.00
SG-7138,2026-09-16,110,145,950.00,0.00,950.00
SG-7139,2026-09-17,110,110,880.00,0.00,880.00
SG-7140,2026-09-18,300,130,2060.00,0.00,2060.00
SG-7141,2026-09-19,45,95,460.00,92.00,552.00
SG-7142,2026-09-20,200,145,1490.00,0.00,1490.00
SG-7143,2026-09-21,150,110,1120.00,0.00,1120.00
SG-7144,2026-09-22,200,60,1320.00,0.00,1320.00
SG-7145,2026-09-23,75,85,620.00,0.00,620.00
SG-7146,2026-09-24,75,88,626.00,0.00,626.00
SG-7147,2026-09-25,130,45,870.00,0.00,870.00
SG-7148,2026-09-26,130,88,956.00,0.00,956.00
SG-7149,2026-09-27,260,95,1750.00,350.00,2100.00
SG-7150,2026-09-28,75,95,640.00,0.00,640.00
TOTAL,,,,,,26612.00
