cnote_no,booking_dt,wt_kg,dist_km,freight_rs,chill_prem_rs,total_rs
SG-7026,2026-07-17,110,140,940.00,0.00,940.00
SG-7027,2026-07-18,45,110,490.00,0.00,490.00
SG-7028,2026-07-19,60,100,560.00,0.00,560.00
SG-7029,2026-07-20,110,160,980.00,0.00,980.00
SG-7030,2026-07-21,90,140,820.00,0.00,820.00
SG-7031,2026-07-22,75,145,740.00,0.00,740.00
SG-7032,2026-07-23,130,60,900.00,0.00,900.00
SG-7033,2026-07-24,60,145,650.00,130.00,780.00
SG-7034,2026-07-25,90,70,680.00,0.00,680.00
SG-7035,2026-07-26,150,85,1070.00,0.00,1070.00
SG-7036,2026-07-27,45,70,410.00,0.00,410.00
SG-7037,2026-07-28,150,110,1120.00,0.00,1120.00
SG-7038,2026-07-16,150,45,990.00,0.00,990.00
SG-7039,2026-07-17,130,140,1060.00,0.00,1060.00
SG-7040,2026-07-18,45,45,360.00,0.00,360.00
SG-7041,2026-07-19,150,140,1180.00,236.00,1416.00
SG-7042,2026-07-20,45,145,560.00,0.00,560.00
SG-7043,2026-07-21,110,45,750.00,0.00,750.00
SG-7044,2026-07-22,150,160,1220.00,0.00,1220.00
SG-7045,2026-07-23,130,160,1100.00,0.00,1100.00
SG-7046,2026-07-24,45,110,490.00,0.00,490.00
SG-7047,2026-07-25,45,130,530.00,0.00,530.00
SG-7048,2026-07-26,75,95,640.00,0.00,640.00
SG-7049,2026-07-27,150,100,1100.00,220.00,1320.00
SG-7050,2026-07-28,90,45,630.00,0.00,630.00
TOTAL,,,,,,20556.00
